五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
嘉義市,東區,1002001-062,增,,"中央里
（由祐民里、大街里、初陽里及府路里分割並合併仁武里、建國里及仁和里）",,
嘉義市,東區,1002001-063,增,,"林森里
（由檜村里及太平里分割並合併雲宵里）",,
嘉義市,東區,1002001-064,增,,"北門里
（由北城里分割並合併泰安里及社口里）",,
嘉義市,東區,1002001-065,增,,"蘭潭里
（由短竹里及東川里分割）",,
嘉義市,東區,1002001-066,增,,"文雅里
（由盧厝里及長竹里分割）",,
嘉義市,東區,1002001-067,增,,"安業里
（由安寮里、興安里及西區美源里分割）",,
嘉義市,東區,1002001-068,增,,"義教里
（由頂庄里及仁義里分割）",,
嘉義市,東區,1002001-006,刪,"仁和里
（併入中央里）",,,
嘉義市,東區,1002001-007,刪,"社口里
（併入北門里）",,,
嘉義市,東區,1002001-008,刪,"檜村里
（併入林森里及仁義里）",,,
嘉義市,東區,1002001-009,刪,"泰安里
（併入北門里）",,,
嘉義市,東區,1002001-010,刪,"仁武里
（併入中央里）",,,
嘉義市,東區,1002001-011,刪,"北城里
（併入中山里及北門里）",,,
嘉義市,東區,1002001-012,刪,"建國里
（併入中央里）",,,
嘉義市,東區,1002001-013,刪,"初陽里
（併入過溝里及中央里）",,,
嘉義市,東區,1002001-014,刪,"震安里
（併入過溝里）",,,
嘉義市,東區,1002001-015,刪,"府路里
（併入過溝里及中央里）",,,
嘉義市,東區,1002001-016,刪,"雲霄里
（併入林森里）",,,
嘉義市,東區,1002001-017,刪,"內安里
（併入中山里）",,,
嘉義市,東區,1002001-018,刪,"東仁里
（併入東興里）",,,
嘉義市,東區,1002001-019,刪,"祐民里
（併入民族里及中央里）",,,
嘉義市,東區,1002001-020,刪,"大街里
（併入東興里及中央里）",,,
嘉義市,東區,1002001-021,刪,"東安里
（併入華南里及東興里）",,,
嘉義市,東區,1002001-022,刪,"東山里
（併入華南里）",,,
嘉義市,東區,1002001-024,刪,"東噴里
（併入東興里）",,,
嘉義市,東區,1002001-025,刪,"光復里
（併入朝陽里）",,,
嘉義市,東區,1002001-026,刪,"蘭井里
（併入民族里）",,,
嘉義市,東區,1002001-028,刪,"文昌里
（併入民族里）",,,
嘉義市,東區,1002001-029,刪,"安平里
（併入過溝里）",,,
嘉義市,東區,1002001-030,刪,"龍山里
（併入華南里）",,,
嘉義市,東區,1002001-031,刪,"崇文里
（併入華南里）",,,
嘉義市,東區,1002001-032,刪,"神農里
（併入朝陽里）",,,
嘉義市,東區,1002001-033,刪,"鎮南里
（併入民族里）",,,
