五都改制對照表在:,http://www.moi.gov.tw/chi/chi_news/news_detail.aspx?sn=4547&type_code=01,,,,,'日期（民國年被翻成西元年，應修正）,
county,town,vid,action,old,new,date,其他備註
臺南市,西　區,1002103-024,刪,民主里,　,,
臺南市,西　區,1002103-029,刪,西湖里,　,,
臺南市,西　區,1002103-030,刪,西賢里,　,,
臺南市,西　區,1002103-031,刪,三合里,　,,
臺南市,西　區,1002103-032,刪,民權里,　,,
臺南市,西　區,1002103-033,刪,保安里,　,,
臺南市,西　區,1002103-034,刪,郡西里,　,,
臺南市,中　區,1002105-003,刪,公正里,　,,
臺南市,中　區,1002105-007,刪,銀同里,　,,
臺南市,中　區,1002105-014,刪,小西里,　,,
臺南市,中　區,1002105-017,刪,仙草里,　,,
臺南市,中　區,1002105-019,刪,赤嵌里,　,,
臺南市,中　區,1002105-022,刪,五妃里,　,,
臺南市,中　區,1002105-027,刪,郡王里,　,,
臺南市,中　區,1002105-030,刪,福安里,　,,
臺南市,中　區,1002105-031,刪,法華里,　,,
臺南市,中　區,1002105-032,刪,大南里,　,,
臺南市,中　區,1002105-034,刪,開山里,　,,
臺南市,中　區,1002105-035,刪,進學里,　,,
臺南市,中　區,1002105-036,刪,建國里,　,,
臺南市,中　區,1002105-037,刪,青年里,　,,
臺南市,中　區,1002105-038,刪,永福里,　,,
臺南市,中　區,1002105-039,刪,永華里,　,,
臺南市,中　區,1002105-040,刪,天后里,　,,
臺南市,中　區,1002105-041,刪,三民里,　,,
臺南市,中　區,1002105-042,刪,萬昌里,　,,
臺南市,中西區,1002108-001,增,　,公正里,,
臺南市,中西區,1002108-002,增,　,銀同里,,
臺南市,中西區,1002108-003,增,　,小西里,,
臺南市,中西區,1002108-004,增,　,仙草里,,
臺南市,中西區,1002108-005,增,　,赤嵌里,,
臺南市,中西區,1002108-006,增,　,五妃里,,
臺南市,中西區,1002108-007,增,　,郡王里,,
臺南市,中西區,1002108-008,增,　,福安里,,
臺南市,中西區,1002108-009,增,　,法華里,,
臺南市,中西區,1002108-010,增,　,大南里,,
臺南市,中西區,1002108-011,增,　,開山里,,
臺南市,中西區,1002108-012,增,　,進學里,,
臺南市,中西區,1002108-013,增,　,建國里,,
臺南市,中西區,1002108-014,增,　,青年里,,
臺南市,中西區,1002108-015,增,　,永福里,,
臺南市,中西區,1002108-016,增,　,永華里,,
臺南市,中西區,1002108-017,增,　,天后里,,
臺南市,中西區,1002108-018,增,　,三民里,,
臺南市,中西區,1002108-019,增,　,萬昌里,,
臺南市,中西區,1002108-020,增,　,普濟里,,
臺南市,中西區,1002108-021,增,　,水仙里,,
臺南市,中西區,1002108-022,增,　,藥王里,,
臺南市,中西區,1002108-023,增,　,協和里,,
臺南市,中西區,1002108-024,增,　,文賢里,,
臺南市,中西區,1002108-025,增,　,光賢里,,
臺南市,中西區,1002108-026,增,　,元安里,,
臺南市,中西區,1002108-027,增,　,協進里,,
臺南市,中西區,1002108-028,增,　,安海里,,
臺南市,中西區,1002108-029,增,　,民生里,,
臺南市,中西區,1002108-030,增,　,中正里,,
臺南市,中西區,1002108-031,增,　,大涼里,,
臺南市,中西區,1002108-032,增,　,民主里,,
臺南市,中西區,1002108-033,增,　,西湖里,,
臺南市,中西區,1002108-034,增,　,西賢里,,
臺南市,中西區,1002108-035,增,　,三合里,,
臺南市,中西區,1002108-036,增,　,民權里,,
臺南市,中西區,1002108-037,增,　,保安里,,
臺南市,中西區,1002108-038,增,　,郡西里,,
臺南縣,新市鄉,1001120-005,修,豊華村,豐華村,37739,
臺中市,"中  區",1001901-029,修,吉祥里,柳川里,37712,
臺南市,"中  區",1002105-035,修,忠義里,進學里,37942,
臺北縣,新店市,1000106-068,增,　,"達觀里
（由德安里分割）",37288,
臺北縣,新店市,1000106-069,增,　,"華城里
（由塗潭里分割）",,
臺北縣,林口鄉,1000117-015,增,　,"仁愛村
（由南勢村分割）",,
臺北縣,林口鄉,1000117-016,增,　,"麗林村
（由南勢村分割）",,
臺北縣,林口鄉,1000117-017,增,　,"麗園村
（由東勢村分割）",,
桃園縣,中壢市,1000302-075,增,　,"仁和里
（由仁德里分割）",37291,
桃園縣,中壢市,1000302-076,增,　,"華愛里
（由仁愛里分割）",,
桃園縣,中壢市,1000302-077,增,　,"莊敬里
（由自強里分割）",,
桃園縣,中壢市,1000302-078,增,　,"自治里
（由自強里分割）",,
桃園縣,中壢市,1000302-079,增,　,"健行里
（由東興里分割）",,
桃園縣,龜山鄉,1000307-027,增,　,"大湖村
（由公西村及大崗村分割）",37288,
桃園縣,龜山鄉,1000307-028,增,　,"大華村
（由大崗村分割）",,
桃園縣,龜山鄉,1000307-029,增,　,"長庚村
（由樂善村分割）",,
桃園縣,龜山鄉,1000307-030,增,　,"新興村
（由中興村分割）",,
桃園縣,八德市,1000308-040,增,　,"瑞興里
（由瑞豐里分割）",37292,
桃園縣,八德市,1000308-041,增,　,"大愛里
（由大興里分割）",,
桃園縣,八德市,1000308-042,增,　,"大宏里
（由大智里分割）",,
桃園縣,八德市,1000308-043,增,　,"大漢里
（由大千里分割）",,
桃園縣,龍潭鄉,1000309-020,增,　,"永興村
（由黃唐村分割）",37291,
桃園縣,龍潭鄉,1000309-021,增,　,"烏樹林村
（由烏林村分割）",,
桃園縣,龍潭鄉,1000309-022,增,　,"百年村
（由烏林村分割）",,
桃園縣,龍潭鄉,1000309-023,增,　,"龍祥村
（由凌雲村分割）",,
桃園縣,龍潭鄉,1000309-024,增,　,"聖德村
（由八德村分割）",,
桃園縣,龍潭鄉,1000309-025,增,　,"龍星村
（由中正村分割）",,
桃園縣,龍潭鄉,1000309-026,增,　,"上華村
（由中正村分割）",,
桃園縣,龍潭鄉,1000309-027,增,　,"武漢村
（由九龍村分割）",,
桃園縣,龍潭鄉,1000309-028,增,　,"東興村
（由中興村分割）",,
桃園縣,龍潭鄉,1000309-029,增,　,"北興村
（由中興村分割）",,
桃園縣,龍潭鄉,1000309-030,增,　,"建林村
（由三林村分割）",,
桃園縣,龍潭鄉,1000309-031,增,　,"富林村
（由三林村分割）",,
桃園縣,平鎮市,1000310-042,增,　,"復興里
（由復旦里分割）",37288,
桃園縣,平鎮市,1000310-043,增,　,"平興里
（由宋屋里分割）",,
桃園縣,平鎮市,1000310-044,增,　,"新英里
（由新富里分割）",,
桃園縣,平鎮市,1000310-045,增,　,"平安里
（由金星里分割）",,
桃園縣,平鎮市,1000310-046,增,　,"平南里
（由金星里分割）",,
苗栗縣,苗栗市,1000501-025,增,　,"福安里
（由福星里分割）",37257,
苗栗縣,苗栗市,1000501-026,增,　,"嘉新里
（由嘉盛里分割）",,
苗栗縣,苗栗市,1000501-027,增,　,"南勢里
（由新英里分割）",,
苗栗縣,竹南鎮,1000504-023,增,　,"佳興里
（由山佳里分割）",,
臺中縣,沙鹿鎮,1000605-021,增,　,"三鹿里
（由埔子里分割）",37294,
臺中縣,后里鄉,1000607-015,刪,"樂業村
（併入眉山村）",　,,
臺中縣,后里鄉,1000607-019,增,　,"義德村
（由義里村分割）",,
臺中縣,潭子鄉,1000609-014,增,　,"頭家東村
（由頭家村分割）",,
臺中縣,潭子鄉,1000609-015,增,　,"家興村
（由頭家村分割）",,
臺中縣,潭子鄉,1000609-016,增,　,"家福村
（由頭家村分割）",,
臺中縣,大肚鄉,1000616-017,增,　,"自強村
（由蔗村分割）",,
臺中縣,大里市,1000620-021,增,　,"國光里
（由新里里分割）",37291,
臺中縣,大里市,1000620-022,增,　,"大明里
（由東興里分割）",,
臺中縣,大里市,1000620-023,增,　,"永隆里
（由東興里分割）",,
臺中縣,大里市,1000620-024,增,　,"長榮里
（由西榮里分割）",,
臺中縣,大里市,1000620-025,增,　,"中新里
（由內新里分割）",,
臺中縣,大里市,1000620-026,增,　,"立德里
（由立仁里分割）",,
臺中縣,大里市,1000620-027,增,　,"仁德里
（由仁化里分割）",,
彰化縣,員林鎮,1000710-040,增,　,"仁愛里
（由三條里分割）",37294,
彰化縣,員林鎮,1000710-041,增,　,"忠孝里
（由三條里分割）",,
雲林縣,斗六市,1000901-036,增,　,"公誠里
（由信義里分割）",37288,
雲林縣,斗六市,1000901-037,增,　,"明德里
（由信義里分割）",,
雲林縣,斗六市,1000901-038,增,　,"成功里
（由林頭里分割）",,
臺南縣,後壁鄉,1001105-016,刪,"烏林村
（併入烏樹村）",　,,
高雄縣,橋頭鄉,1001209-003,刪,"興糖村
（併入橋南村）",,37469,
高雄縣,橋頭鄉,1001209-018,增,　,"三德村
（由芋寮村分割）",37257,
高雄縣,湖內鄉,1001214-014,增,　,"湖東村
（由湖內村分割）",37292,
屏東縣,屏東市,1001301-052,刪,"崇武里
（併入大武里）",,37347,
花蓮縣,花蓮市,1001501-042,增,　,"主安里
（由主農里分割）",37288,
花蓮縣,花蓮市,1001501-043,增,　,"國盛里
（由國聯里分割）",,
花蓮縣,花蓮市,1001501-044,增,　,"國興里
（由國慶里分割）",,
花蓮縣,花蓮市,1001501-045,增,　,"民孝里
（由民享里分割）",,
基隆市,中正區,1001701-026,增,　,"新富里
（由新豐里分割）",,
基隆市,中山區,1001705-024,增,　,"和慶里
（由中和里分割）",,
基隆市,安樂區,1001706-023,增,　,"興寮里
（由外寮里分割）",,
基隆市,安樂區,1001706-024,增,　,"鶯安里
（由鶯歌里分割）",,
基隆市,信義區,1001707-019,增,　,"孝德里
（由孝深里分割）",,
臺中市,中區,1001901-001,刪,"中山里
（併入綠川里）",　,,
臺中市,中區,1001901-002,刪,"建國里
（併入綠川里）",　,,
臺中市,中區,1001901-003,刪,"南京里
（併入繼光里及綠川里）",　,,
臺中市,中區,1001901-004,刪,"繼榮里
（併入繼光里）",　,,
臺中市,中區,1001901-006,刪,"自由里
（併入公園里）",　,,
臺中市,中區,1001901-007,刪,"重慶里
（併入公園里）",　,,
臺中市,中區,1001901-008,刪,"錦上里
（併入光復里）",　,,
臺中市,中區,1001901-009,刪,"錦添里
（併入光復里）",　,,
臺中市,中區,1001901-010,刪,"錦花里
（併入公園里及光復里）",　,,
臺中市,中區,1001901-012,刪,"中墩里
（併入大墩里）",　,,
臺中市,中區,1001901-013,刪,"東墩里
（併入大墩里）",　,,
臺中市,中區,1001901-014,刪,"柳岸里
（併入吉祥里）",　,,
臺中市,中區,1001901-015,刪,"柳堤里
（併入吉祥里）",　,,
臺中市,中區,1001901-016,刪,"柳原里
（併入吉祥里）",　,,
臺中市,中區,1001901-017,刪,"正音里
（併入大誠里）",　,,
臺中市,中區,1001901-018,刪,"中音里
（併入大誠里）",　,,
臺中市,中區,1001901-019,刪,"光音里
（併入大誠里）",　,,
臺中市,中區,1001901-020,刪,"青松里
（併入中華里）",　,,
臺中市,中區,1001901-021,刪,"博松里
（併入中華里）",　,,
臺中市,中區,1001901-022,刪,"愛松里
（併入中華里）",　,,
臺中市,中區,1001901-023,刪,"中功里
（併入中華里）",　,,
臺中市,中區,1001901-024,刪,"中榮里
（併入中華里）",　,,
臺中市,中區,1001901-025,刪,"中政里
（併入大誠里）",　,,
臺中市,中區,1001901-026,增,　,"綠川里
（由中山里、建國里及南京里(部分)合併）",,
臺中市,中區,1001901-027,增,　,"公園里
（由自由里、重慶里及錦花里(部分)合併）",,
臺中市,中區,1001901-028,增,　,"光復里
（由錦上里、錦添里及錦花里(部分)合併）",,
臺中市,中區,1001901-029,增,　,"吉祥里
（由柳岸里、柳堤里及柳原里合併）",,
臺中市,中區,1001901-030,增,　,"大誠里
（由正音里、中音里、光音里及中政里合併）",,
臺中市,中區,1001901-031,增,　,"中華里
（由青松里、博松里、愛松里、中功里及中榮里合併）",,
臺中市,東區,1001902-002,刪,"立德里
（併入新庄里）",　,,
臺中市,東區,1001902-003,刪,"朱文里
（併入新庄里及泉源里）",　,,
臺中市,東區,1001902-004,刪,"翰第里
（併入新庄里及泉源里）",　,,
臺中市,東區,1001902-006,刪,"曙峰里
（併入振興里）",　,,
臺中市,東區,1001902-007,刪,"頂峰里
（併入東興里）",　,,
臺中市,東區,1001902-008,刪,"忠孝里
（併入振興里及泉源里）",　,,
臺中市,東區,1001902-011,刪,"樂業里
（併入泉源里）",　,,
臺中市,東區,1001902-012,刪,"文化里
（併入干城里）",　,,
臺中市,東區,1001902-015,刪,"祖聖里
（併入旱溪里）",　,,
臺中市,東區,1001902-021,刪,"東明里
（併入東勢里）",　,,
臺中市,東區,1001902-023,刪,"成功里
（併入干城里）",　,,
臺中市,東區,1001902-025,刪,"尚武里
（併入富仁里）",　,,
臺中市,東區,1001902-026,刪,"練武里
（併入干城里及富仁里）",　,,
臺中市,東區,1001902-030,增,　,"東英里
（由十甲里分割）",,
臺中市,南區,1001903-001,刪,"南興里
（併入長春里）",　,,
臺中市,南區,1001903-002,刪,"正義里
（併入長春里）",　,,
臺中市,南區,1001903-003,刪,"民主里
（併入長榮里）",　,,
臺中市,南區,1001903-004,刪,"復興里
（併入長榮里）",　,,
臺中市,南區,1001903-005,刪,"萬安里
（併入長春里）",　,,
臺中市,南區,1001903-006,刪,"信義里
（併入城隍里）",　,,
臺中市,南區,1001903-008,刪,"頂南里
（併入城隍里）",　,,
臺中市,南區,1001903-009,刪,"中南里
（併入城隍里及國光里）",　,,
臺中市,南區,1001903-023,增,　,"長春里
（由南興里、正義里及萬安里合併）",,
臺中市,南區,1001903-024,增,　,"長榮里
（由民主里及復興里合併）",,
臺中市,南區,1001903-025,增,　,"福順里
（由福平里分割）",,
臺中市,南區,1001903-026,增,　,"平和里
（由和平里及西川里分割）",,
臺中市,南區,1001903-027,增,　,"南和里
（由和平里及永興里分割）",,
臺中市,南區,1001903-028,增,　,"永和里
（由和平里及永興里分割）",,
臺中市,南區,1001903-029,增,　,"工學里
（由和平里及樹義里分割）",,
臺中市,南區,1001903-030,增,　,"崇倫里
（由西川里分割）",,
臺中市,西區,1001904-001,刪,"福壽里
（併入民生里）",　,,
臺中市,西區,1001904-003,刪,"光明里
（併入民生里）",　,,
臺中市,西區,1001904-008,刪,"平民里
（併入廣民里及平和里）",　,,
臺中市,西區,1001904-011,刪,"中民里
（併入東昇里及藍興里）",　,,
臺中市,西區,1001904-014,刪,"平龍里
（併入和龍里）",　,,
臺中市,西區,1001904-016,刪,"元龍里
（併入和龍里及民龍里）",　,,
臺中市,西區,1001904-018,刪,"福龍里
（併入和龍里及後龍里）",　,,
臺中市,西區,1001904-020,刪,"靖龍里
（併入後龍里）",　,,
臺中市,西區,1001904-021,刪,"雲龍里
（併入昇平里及双龍里）",　,,
臺中市,西區,1001904-022,刪,"永龍里
（併入双龍里）",　,,
臺中市,西區,1001904-032,增,　,"公平里
（由公正里分割）",,
臺中市,西區,1001904-033,增,　,"公德里
（由公正里分割）",,
臺中市,西區,1001904-034,增,　,"双龍里
（由永龍里及雲龍里(部分)合併）",,
臺中市,西區,1001904-035,增,　,"大忠里
（由吉龍里及土庫里分割）",,
臺中市,北區,1001905-001,刪,"高風里
（併入中正里）",　,,
臺中市,北區,1001905-002,刪,"遠志里
（併入中正里）",　,,
臺中市,北區,1001905-003,刪,"光華里
（併入中正里）",　,,
臺中市,北區,1001905-004,刪,"高平里
（併入中正里）",　,,
臺中市,北區,1001905-005,刪,"南靖里
（併入中正里）",　,,
臺中市,北區,1001905-006,刪,"文正里
（併入六合里）",　,,
臺中市,北區,1001905-007,刪,"大安里
（併入六合里）",　,,
臺中市,北區,1001905-008,刪,"長安里
（併入六合里）",　,,
臺中市,北區,1001905-009,刪,"光興里
（併入六合里）",　,,
臺中市,北區,1001905-010,刪,"光榮里
（併入六合里）",　,,
臺中市,北區,1001905-011,刪,"光正里
（併入六合里）",　,,
臺中市,北區,1001905-014,刪,"湖北里
（併入大湖里）",　,,
臺中市,北區,1001905-015,刪,"中湖里
（併入大湖里）",　,,
臺中市,北區,1001905-016,刪,"湖南里
（併入大湖里）",　,,
臺中市,北區,1001905-017,刪,"平等里
（併入錦平里）",　,,
臺中市,北區,1001905-019,刪,"仁和里
（併入大湖里）",　,,
臺中市,北區,1001905-020,刪,"香蕉里
（併入大湖里）",　,,
臺中市,北區,1001905-021,刪,"錦和里
（併入錦平里）",　,,
臺中市,北區,1001905-023,刪,"武順里
（併入新興里）",　,,
臺中市,北區,1001905-045,增,　,"中正里
（由高風里、遠志里、光華里、高平里及南靖里合併）",,
臺中市,北區,1001905-046,增,　,"六合里
（由文正里、大安里、長安里、光興里、光榮里及光正里合併）",,
臺中市,北區,1001905-047,增,　,"大湖里
（由湖北里、中湖里、湖南里、仁和里及香蕉里合併）",,
臺中市,北區,1001905-048,增,　,"錦平里
（由平等里及錦和里合併）",,
臺中市,北區,1001905-049,增,　,"建德里
（由建成里分割）",,
臺中市,北區,1001905-050,增,　,"崇德里
（由頂厝里分割）",,
臺中市,北區,1001905-051,增,　,"賴旺里
（由賴興里分割）",,
臺中市,北區,1001905-052,增,　,"明新里
（由明德里分割）",,
臺中市,北區,1001905-053,增,　,"立人里
（由長青里分割）",,
臺中市,北區,1001905-054,增,　,"梅川里
（由賴明里分割）",,
臺中市,北區,1001905-055,增,　,"賴福里
（由賴厝里分割）",,
臺中市,西屯區,1001906-026,增,　,"至善里
（由西安里分割）",,
臺中市,西屯區,1001906-027,增,　,"上安里
（由上石里分割）",,
臺中市,西屯區,1001906-028,增,　,"上德里
（由上石里分割）",,
臺中市,西屯區,1001906-029,增,　,"逢福里
（由逢甲里分割）",,
臺中市,西屯區,1001906-030,增,　,"何明里
（由何厝里分割）",,
臺中市,西屯區,1001906-031,增,　,"何成里
（由何南里分割）",,
臺中市,西屯區,1001906-032,增,　,"何福里
（由何德里分割）",,
臺中市,西屯區,1001906-033,增,　,"福和里
（由福安里分割）",,
臺中市,西屯區,1001906-034,增,　,"福中里
（由福安里分割）",,
臺中市,西屯區,1001906-035,增,　,"福恩里
（由福安里分割）",,
臺中市,西屯區,1001906-036,增,　,"福聯里
（由福安里分割）",,
臺中市,西屯區,1001906-037,增,　,"福瑞里
（由福安里分割）",,
臺中市,西屯區,1001906-038,增,　,"福林里
（由福安里分割）",,
臺中市,西屯區,1001906-039,增,　,"福雅里
（由福安里分割）",,
臺中市,南屯區,1001907-014,刪,"黎光里
（併入黎明里）",　,,
臺中市,南屯區,1001907-017,增,　,"文心里
（由田心里分割）",,
臺中市,南屯區,1001907-018,增,　,"同心里
（由田心里分割）",,
臺中市,南屯區,1001907-019,增,　,"向心里
（由田心里分割）",,
臺中市,南屯區,1001907-020,增,　,"大誠里
（由大同里分割）",,
臺中市,南屯區,1001907-021,增,　,"大興里
（由大同里分割）",,
臺中市,南屯區,1001907-022,增,　,"大業里
（由溝墘里分割）",,
臺中市,南屯區,1001907-023,增,　,"惠中里
（由溝墘里分割）",,
臺中市,南屯區,1001907-024,增,　,"寶山里
（由文山里分割）",,
臺中市,南屯區,1001907-025,增,　,"三和里
（由三厝里分割）",,
臺中市,南屯區,1001907-026,增,　,"三義里
（由三厝里分割）",,
臺中市,北屯區,1001908-032,增,　,"松強里
（由松茂里分割）",,
臺中市,北屯區,1001908-033,增,　,"松勇里
（由松茂里分割）",,
臺中市,北屯區,1001908-034,增,　,"北京里
（由北屯里分割）",,
臺中市,北屯區,1001908-035,增,　,"平心里
（由平順里分割）",,
臺中市,北屯區,1001908-036,增,　,"平福里
（由平順里分割）",,
臺中市,北屯區,1001908-037,增,　,"松和里
（由松安里分割）",,
臺中市,北屯區,1001908-038,增,　,"平陽里
（由平和里分割）",,
臺中市,北屯區,1001908-039,增,　,"平興里
（由平田里分割）",,
臺中市,北屯區,1001908-040,增,　,"平昌里
（由平田里分割）",,
臺中市,北屯區,1001908-041,增,　,"三和里
（由三光里分割）",,
臺中市,北屯區,1001908-042,增,　,"忠平里
（由陳平里分割）",,
臺南市,東區,1002101-002,刪,"大廟里
（併入東門里）",　,37291,
臺南市,東區,1002101-005,刪,"府宅里
（併入大同里）",　,,
臺南市,東區,1002101-008,刪,"圍上里
（併入成大里）",　,,
臺南市,東區,1002101-009,刪,"泉北里
（併入東門里）",　,,
臺南市,東區,1002101-011,刪,"川東里
（併入大同里）",　,,
臺南市,東區,1002101-012,刪,"大興里
（併入大同里）",　,,
臺南市,東區,1002101-024,刪,"前鋒里
（併入成大里）",　,,
臺南市,東區,1002101-031,刪,"育樂里
（併入成大里）",　,,
臺南市,東區,1002101-046,增,　,"東門里
（由大廟里及泉北里合併）",,
臺南市,東區,1002101-047,增,　,"成大里
（由圍上里、前鋒里及育樂里合併）",,
臺南市,東區,1002101-048,增,　,"大同里
（由府宅里、川東里及大興里合併）",,
臺南市,東區,1002101-049,增,　,"德光里
（由龍山里分割）",,
臺南市,東區,1002101-050,增,　,"崇信里
（由崇學里分割）",,
臺南市,東區,1002101-051,增,　,"崇文里
（由崇成里分割）",,
臺南市,東區,1002101-052,增,　,"復興里
（由自強里分割）",,
臺南市,東區,1002101-053,增,　,"裕聖里
（由虎尾里分割）",,
臺南市,南區,1002102-015,刪,"清泉里
（併入鯤鯓里）",　,,
臺南市,南區,1002102-016,刪,"龍崗里
（併入鯤鯓里）",　,,
臺南市,南區,1002102-021,刪,"覺醒里
（併入永寧里）",　,,
臺南市,南區,1002102-022,刪,"海豐里
（併入永寧里）",　,,
臺南市,南區,1002102-023,刪,"松山里
（併入松安里）",　,,
臺南市,南區,1002102-024,刪,"中和里
（併入永寧里）",　,,
臺南市,南區,1002102-027,刪,"南山里
（併入佛壇里及松安里）",　,,
臺南市,南區,1002102-044,增,　,"鯤鯓里
（由清泉里及龍崗里合併）",,
臺南市,南區,1002102-045,增,　,"松安里
（由松山里、同安里(部分)及南山里(部分)合併）",,
臺南市,南區,1002102-046,增,　,"永寧里
（由覺醒里、海豐里及中和里合併）",,
臺南市,南區,1002102-047,增,　,"南華里
（由南都里分割）",,
臺南市,西區,1002103-001,刪,"金安里
（併入三合里）",　,,
臺南市,西區,1002103-002,刪,"忠信里
（併入三合里）",　,,
臺南市,西區,1002103-003,刪,"工業里
（併入三合里）",　,,
臺南市,西區,1002103-005,刪,"濟同里
（併入普濟里）",　,,
臺南市,西區,1002103-007,刪,"北勢里
（併入民權里）",　,,
臺南市,西區,1002103-010,刪,"西羅里
（併入民權里）",　,,
臺南市,西區,1002103-011,刪,"安新里
（併入水仙里）",　,,
臺南市,西區,1002103-014,刪,"天池里
（併入郡西里）",　,,
臺南市,西區,1002103-019,刪,"正德里
（併入中正里）",　,,
臺南市,西區,1002103-021,刪,"運河里
（併入保安里）",　,,
臺南市,西區,1002103-022,刪,"北頭里
（併入民主里）",　,,
臺南市,西區,1002103-025,刪,"保良里
（併入保安里）",　,,
臺南市,西區,1002103-026,刪,"保民里
（併入保安里）",　,,
臺南市,西區,1002103-027,刪,"中頭里
（併入民生里）",　,,
臺南市,西區,1002103-028,刪,"新安里
（併入郡西里）",　,,
臺南市,西區,1002103-031,增,　,"三合里
（由金安里、忠信里及工業里合併）",,
臺南市,西區,1002103-032,增,　,"民權里
（由北勢里及西羅里合併）",,
臺南市,西區,1002103-033,增,　,"保安里
（由運河里、保良里及保民里合併）",,
臺南市,西區,1002103-034,增,　,"郡西里
（由天池里及新安里合併）",,
臺南市,北區,1002104-003,刪,"北垣里
（併入長榮里）",　,,
臺南市,北區,1002104-004,刪,"富台里
（併入長榮里）",　,,
臺南市,北區,1002104-011,刪,"水源里
（併入中樓里）",　,,
臺南市,北區,1002104-012,刪,"東豐里
（併入中樓里）",　,,
臺南市,北區,1002104-022,刪,"西華里
（併入公園里）",　,,
臺南市,北區,1002104-023,刪,"北門里
（併入公園里）",　,,
臺南市,北區,1002104-026,刪,"花園里
（併入玉皇里）",　,,
臺南市,北區,1002104-027,刪,"大公里
（併入玉皇里）",　,,
臺南市,北區,1002104-028,刪,"福德里
（併入玉皇里）",　,,
臺南市,北區,1002104-029,刪,"城隍里
（併入三德里）",　,,
臺南市,北區,1002104-030,刪,"三安里
（併入三德里）",　,,
臺南市,北區,1002104-031,刪,"重光里
（併入五福里）",　,,
臺南市,北區,1002104-032,刪,"元和里
（併入五福里）",　,,
臺南市,北區,1002104-033,刪,"保生里
（併入三德里）",　,,
臺南市,北區,1002104-035,刪,"城朔里
（併入長德里）",　,,
臺南市,北區,1002104-036,刪,"共和里
（併入長德里）",　,,
臺南市,北區,1002104-047,增,　,"長榮里
（由北垣里及富台里合併）",,
臺南市,北區,1002104-048,增,　,"中樓里
（由水源里及東豐里合併）",,
臺南市,北區,1002104-049,增,　,"公園里
（由西華里及北門里合併）",,
臺南市,北區,1002104-050,增,　,"玉皇里
（由花園里、大公里及福德里合併）",,
臺南市,北區,1002104-051,增,　,"長德里
（由城朔里及共和里合併）",,
臺南市,北區,1002104-052,增,　,"三德里
（由城隍里、三安里及保生里合併）",,
臺南市,北區,1002104-053,增,　,"五福里
（由重光里及元和里合併）",,
臺南市,北區,1002104-054,增,　,"元寶里
（由開元里分割）",,
臺南市,北區,1002104-055,增,　,"永祥里
（由小康里分割）",,
臺南市,北區,1002104-056,增,　,"成德里
（由成功里分割）",,
臺南市,北區,1002104-057,增,　,"文成里
（由文元里分割）",,
臺南市,北區,1002104-058,增,　,"大和里
（由大港里分割）",,
臺南市,北區,1002104-059,增,　,"賢北里
（由大豐里分割）",,
臺南市,中區,1002105-001,刪,"萬壽里
（併入萬昌里）",　,,
臺南市,中區,1002105-002,刪,"文昌里
（併入萬昌里）",　,,
臺南市,中區,1002105-004,刪,"清水里
（併入青年里）",　,,
臺南市,中區,1002105-005,刪,"萬鍾里
（併入公正里）",　,,
臺南市,中區,1002105-006,刪,"啟智里
（併入永華里）",　,,
臺南市,中區,1002105-008,刪,"廣慈里
（併入赤嵌里）",　,,
臺南市,中區,1002105-009,刪,"永慶里
（併入永華里）",　,,
臺南市,中區,1002105-010,刪,"環翠里
（併入青年里）",　,,
臺南市,中區,1002105-011,刪,"中山里
（併入三民里）",　,,
臺南市,中區,1002105-012,刪,"白金里
（併入三民里）",　,,
臺南市,中區,1002105-013,刪,"天中里
（併入三民里）",　,,
臺南市,中區,1002105-015,刪,"武聖里
（併入天后里）",　,,
臺南市,中區,1002105-016,刪,"聖前里
（併入忠義里）",　,,
臺南市,中區,1002105-018,刪,"竹翠里
（併入永福里）",　,,
臺南市,中區,1002105-020,刪,"觀音里
（併入赤嵌里）",　,,
臺南市,中區,1002105-021,刪,"蓬壺里
（併入天后里）",　,,
臺南市,中區,1002105-023,刪,"溫陵里
（併入永福里）",　,,
臺南市,中區,1002105-024,刪,"開仙里
（併入建國里）",　,,
臺南市,中區,1002105-025,刪,"川西里
（併入開山里）",　,,
臺南市,中區,1002105-026,刪,"保西里
（併入建國里）",　,,
臺南市,中區,1002105-028,刪,"昇平里
（併入永福里）",　,,
臺南市,中區,1002105-029,刪,"中南里
（併入福安里）",　,,
臺南市,中區,1002105-033,刪,"進學里
（併入忠義里）",　,,
臺南市,中區,1002105-035,增,　,"忠義里
（由聖前里、進學里及大南里(部分)合併）",,
臺南市,中區,1002105-036,增,　,"建國里
（由開仙里及保西里合併）",,
臺南市,中區,1002105-037,增,　,"青年里
（由清水里及環翠里合併）",,
臺南市,中區,1002105-038,增,　,"永福里
（由竹翠里、溫陵里及昇平里合併）",,
臺南市,中區,1002105-039,增,　,"永華里
（由啟智里及永慶里合併）",,
臺南市,中區,1002105-040,增,　,"天后里
（由武聖里及蓬壺里合併）",,
臺南市,中區,1002105-041,增,　,"三民里
（由中山里、白金里及天中里合併）",,
臺南市,中區,1002105-042,增,　,"萬昌里
（由萬壽里及文昌里合併）",,
臺南市,安南區,1002106-051,增,　,"大安里
（由理想里分割）",,
臺南市,安平區,1002107-003,刪,"妙壽里
（併入港仔里）",　,,
臺南市,安平區,1002107-004,刪,"菩薩里
（併入港仔里）",　,,
臺南市,安平區,1002107-005,刪,"校前里
（併入港仔里）",　,,
