tid,vid,tname,vname,otid,ovid,otname,ovname
66000010,001,臺中市中區,繼光里,10019010,005,臺中市中區,繼光里
66000010,002,臺中市中區,大墩里,10019010,011,臺中市中區,大墩里
66000010,003,臺中市中區,綠川里,10019010,026,臺中市中區,綠川里
66000010,004,臺中市中區,公園里,10019010,027,臺中市中區,公園里
66000010,005,臺中市中區,光復里,10019010,028,臺中市中區,光復里
66000010,006,臺中市中區,柳川里,10019010,029,臺中市中區,柳川里
66000010,007,臺中市中區,大誠里,10019010,030,臺中市中區,大誠里
66000010,008,臺中市中區,中華里,10019010,031,臺中市中區,中華里
,,,,,,,
66000020,001,臺中市東區,新庄里,10019020,001,臺中市東區,新庄里
66000020,002,臺中市東區,振興里,10019020,005,臺中市東區,振興里
66000020,003,臺中市東區,東橋里,10019020,009,臺中市東區,東橋里
66000020,004,臺中市東區,東興里,10019020,010,臺中市東區,東興里
66000020,005,臺中市東區,干城里,10019020,013,臺中市東區,干城里
66000020,006,臺中市東區,泉源里,10019020,014,臺中市東區,泉源里
66000020,007,臺中市東區,旱溪里,10019020,016,臺中市東區,旱溪里
66000020,008,臺中市東區,樂成里,10019020,017,臺中市東區,樂成里
66000020,009,臺中市東區,東門里,10019020,018,臺中市東區,東門里
66000020,010,臺中市東區,十甲里,10019020,019,臺中市東區,十甲里
66000020,011,臺中市東區,東南里,10019020,020,臺中市東區,東南里
66000020,012,臺中市東區,東勢里,10019020,022,臺中市東區,東勢里
66000020,013,臺中市東區,合作里,10019020,024,臺中市東區,合作里
66000020,014,臺中市東區,富台里,10019020,027,臺中市東區,富台里
66000020,015,臺中市東區,富仁里,10019020,028,臺中市東區,富仁里
66000020,016,臺中市東區,東信里,10019020,029,臺中市東區,東信里
66000020,017,臺中市東區,東英里,10019020,030,臺中市東區,東英里
,,,,,,,
66000030,001,臺中市南區,城隍里,10019030,007,臺中市南區,城隍里
66000030,002,臺中市南區,國光里,10019030,010,臺中市南區,國光里
66000030,003,臺中市南區,南門里,10019030,011,臺中市南區,南門里
66000030,004,臺中市南區,德義里,10019030,012,臺中市南區,德義里
66000030,005,臺中市南區,積善里,10019030,013,臺中市南區,積善里
66000030,006,臺中市南區,江川里,10019030,014,臺中市南區,江川里
66000030,007,臺中市南區,新榮里,10019030,015,臺中市南區,新榮里
66000030,008,臺中市南區,福興里,10019030,016,臺中市南區,福興里
66000030,009,臺中市南區,福平里,10019030,017,臺中市南區,福平里
66000030,010,臺中市南區,和平里,10019030,018,臺中市南區,和平里
66000030,011,臺中市南區,永興里,10019030,019,臺中市南區,永興里
66000030,012,臺中市南區,樹義里,10019030,020,臺中市南區,樹義里
66000030,013,臺中市南區,樹德里,10019030,021,臺中市南區,樹德里
66000030,014,臺中市南區,西川里,10019030,022,臺中市南區,西川里
66000030,015,臺中市南區,長春里,10019030,023,臺中市南區,長春里
66000030,016,臺中市南區,長榮里,10019030,024,臺中市南區,長榮里
66000030,017,臺中市南區,福順里,10019030,025,臺中市南區,福順里
66000030,018,臺中市南區,平和里,10019030,026,臺中市南區,平和里
66000030,019,臺中市南區,南和里,10019030,027,臺中市南區,南和里
66000030,020,臺中市南區,永和里,10019030,028,臺中市南區,永和里
66000030,021,臺中市南區,工學里,10019030,029,臺中市南區,工學里
66000030,022,臺中市南區,崇倫里,10019030,030,臺中市南區,崇倫里
,,,,,,,
66000040,001,臺中市西區,民生里,10019040,002,臺中市西區,民生里
66000040,002,臺中市西區,利民里,10019040,004,臺中市西區,利民里
66000040,003,臺中市西區,三民里,10019040,005,臺中市西區,三民里
66000040,004,臺中市西區,東昇里,10019040,006,臺中市西區,東昇里
66000040,005,臺中市西區,廣民里,10019040,007,臺中市西區,廣民里
66000040,006,臺中市西區,平和里,10019040,009,臺中市西區,平和里
66000040,007,臺中市西區,公民里,10019040,010,臺中市西區,公民里
66000040,008,臺中市西區,藍興里,10019040,012,臺中市西區,藍興里
66000040,009,臺中市西區,公舘里,10019040,013,臺中市西區,公舘里
66000040,010,臺中市西區,和龍里,10019040,015,臺中市西區,和龍里
66000040,011,臺中市西區,民龍里,10019040,017,臺中市西區,民龍里
66000040,012,臺中市西區,後龍里,10019040,019,臺中市西區,後龍里
66000040,013,臺中市西區,安龍里,10019040,023,臺中市西區,安龍里
66000040,014,臺中市西區,吉龍里,10019040,024,臺中市西區,吉龍里
66000040,015,臺中市西區,昇平里,10019040,025,臺中市西區,昇平里
66000040,016,臺中市西區,忠明里,10019040,026,臺中市西區,忠明里
66000040,017,臺中市西區,公正里,10019040,027,臺中市西區,公正里
66000040,018,臺中市西區,土庫里,10019040,028,臺中市西區,土庫里
66000040,019,臺中市西區,忠誠里,10019040,029,臺中市西區,忠誠里
66000040,020,臺中市西區,公益里,10019040,030,臺中市西區,公益里
66000040,021,臺中市西區,中興里,10019040,031,臺中市西區,中興里
66000040,022,臺中市西區,公平里,10019040,032,臺中市西區,公平里
66000040,023,臺中市西區,公德里,10019040,033,臺中市西區,公德里
66000040,024,臺中市西區,双龍里,10019040,034,臺中市西區,双龍里
66000040,025,臺中市西區,大忠里,10019040,035,臺中市西區,大忠里
,,,,,,,
66000050,001,臺中市北區,光大里,10019050,012,臺中市北區,光大里
66000050,002,臺中市北區,文莊里,10019050,013,臺中市北區,文莊里
66000050,003,臺中市北區,五常里,10019050,018,臺中市北區,五常里
66000050,004,臺中市北區,新興里,10019050,022,臺中市北區,新興里
66000050,005,臺中市北區,新北里,10019050,024,臺中市北區,新北里
66000050,006,臺中市北區,樂英里,10019050,025,臺中市北區,樂英里
66000050,007,臺中市北區,錦村里,10019050,026,臺中市北區,錦村里
66000050,008,臺中市北區,建成里,10019050,027,臺中市北區,建成里
66000050,009,臺中市北區,錦洲里,10019050,028,臺中市北區,錦洲里
66000050,010,臺中市北區,金華里,10019050,029,臺中市北區,金華里
66000050,011,臺中市北區,金龍里,10019050,030,臺中市北區,金龍里
66000050,012,臺中市北區,邱厝里,10019050,031,臺中市北區,邱厝里
66000050,013,臺中市北區,建興里,10019050,032,臺中市北區,建興里
66000050,014,臺中市北區,頂厝里,10019050,033,臺中市北區,頂厝里
66000050,015,臺中市北區,賴厝里,10019050,034,臺中市北區,賴厝里
66000050,016,臺中市北區,賴村里,10019050,035,臺中市北區,賴村里
66000050,017,臺中市北區,育德里,10019050,036,臺中市北區,育德里
66000050,018,臺中市北區,淡溝里,10019050,037,臺中市北區,淡溝里
66000050,019,臺中市北區,中達里,10019050,038,臺中市北區,中達里
66000050,020,臺中市北區,錦祥里,10019050,039,臺中市北區,錦祥里
66000050,021,臺中市北區,健行里,10019050,040,臺中市北區,健行里
66000050,022,臺中市北區,明德里,10019050,041,臺中市北區,明德里
66000050,023,臺中市北區,長青里,10019050,042,臺中市北區,長青里
66000050,024,臺中市北區,賴明里,10019050,043,臺中市北區,賴明里
66000050,025,臺中市北區,賴興里,10019050,044,臺中市北區,賴興里
66000050,026,臺中市北區,中正里,10019050,045,臺中市北區,中正里
66000050,027,臺中市北區,六合里,10019050,046,臺中市北區,六合里
66000050,028,臺中市北區,大湖里,10019050,047,臺中市北區,大湖里
66000050,029,臺中市北區,錦平里,10019050,048,臺中市北區,錦平里
66000050,030,臺中市北區,建德里,10019050,049,臺中市北區,建德里
66000050,031,臺中市北區,崇德里,10019050,050,臺中市北區,崇德里
66000050,032,臺中市北區,賴旺里,10019050,051,臺中市北區,賴旺里
66000050,033,臺中市北區,明新里,10019050,052,臺中市北區,明新里
66000050,034,臺中市北區,立人里,10019050,053,臺中市北區,立人里
66000050,035,臺中市北區,梅川里,10019050,054,臺中市北區,梅川里
66000050,036,臺中市北區,賴福里,10019050,055,臺中市北區,賴福里
,,,,,,,
66000060,001,臺中市西屯區,西安里,10019060,001,臺中市西屯區,西安里
66000060,002,臺中市西屯區,西墩里,10019060,002,臺中市西屯區,西墩里
66000060,003,臺中市西屯區,潮洋里,10019060,003,臺中市西屯區,潮洋里
66000060,004,臺中市西屯區,龍潭里,10019060,004,臺中市西屯區,龍潭里
