tid,vid,tname,vname,otid,ovid,otname,ovname
64000051,066,高雄市三民區第一,立誠里,64000051,066,高雄市三民區第一,立誠里
64000051,067,高雄市三民區第一,立業里,64000051,067,高雄市三民區第一,立業里
64000051,068,高雄市三民區第一,港東里,64000051,068,高雄市三民區第一,港東里
64000051,069,高雄市三民區第一,港新里,64000051,069,高雄市三民區第一,港新里
64000051,070,高雄市三民區第一,港西里,64000051,070,高雄市三民區第一,港西里
64000051,072,高雄市三民區第一,博愛里,64000051,072,高雄市三民區第一,博愛里
64000051,073,高雄市三民區第一,博惠里,64000051,073,高雄市三民區第一,博惠里
64000051,074,高雄市三民區第一,長明里,64000051,074,高雄市三民區第一,長明里
64000051,075,高雄市三民區第一,建東里,64000051,075,高雄市三民區第一,建東里
64000051,076,高雄市三民區第一,興德里,64000051,076,高雄市三民區第一,興德里
64000051,077,高雄市三民區第一,鳳南里,64000051,077,高雄市三民區第一,鳳南里
64000051,078,高雄市三民區第一,鳳北里,64000051,078,高雄市三民區第一,鳳北里
64000051,079,高雄市三民區第一,德西里,64000051,079,高雄市三民區第一,德西里
64000051,081,高雄市三民區第一,豐裕里,64000051,081,高雄市三民區第一,豐裕里
64000051,082,高雄市三民區第一,川東里,64000051,082,高雄市三民區第一,川東里
64000051,083,高雄市三民區第一,裕民里,64000051,083,高雄市三民區第一,裕民里
64000051,084,高雄市三民區第一,力行里,64000051,084,高雄市三民區第一,力行里
64000051,085,高雄市三民區第一,千歲里,64000051,085,高雄市三民區第一,千歲里
64000051,086,高雄市三民區第一,立德里,64000051,086,高雄市三民區第一,立德里
64000051,087,高雄市三民區第一,千北里,64000051,087,高雄市三民區第一,千北里
64000051,088,高雄市三民區第一,千秋里,64000051,088,高雄市三民區第一,千秋里
,,,,,,,
64000052,001,高雄市三民區第二,鼎金里,64000052,001,高雄市三民區第二,鼎金里
64000052,002,高雄市三民區第二,鼎盛里,64000052,002,高雄市三民區第二,鼎盛里
64000052,003,高雄市三民區第二,鼎強里,64000052,003,高雄市三民區第二,鼎強里
64000052,004,高雄市三民區第二,鼎力里,64000052,004,高雄市三民區第二,鼎力里
