tid,vid,tname,vname,otid,ovid,otname,ovname
67000010,001,臺南市新營區,忠政里,10011010,001,臺南縣新營市,忠政里
67000010,002,臺南市新營區,民權里,10011010,002,臺南縣新營市,民權里
67000010,003,臺南市新營區,三仙里,10011010,003,臺南縣新營市,三仙里
67000010,004,臺南市新營區,好平里,10011010,004,臺南縣新營市,好平里
67000010,005,臺南市新營區,延平里,10011010,005,臺南縣新營市,延平里
67000010,006,臺南市新營區,永生里,10011010,006,臺南縣新營市,永生里
67000010,007,臺南市新營區,大宏里,10011010,007,臺南縣新營市,大宏里
67000010,008,臺南市新營區,王公里,10011010,008,臺南縣新營市,王公里
67000010,009,臺南市新營區,中營里,10011010,009,臺南縣新營市,中營里
67000010,010,臺南市新營區,土庫里,10011010,010,臺南縣新營市,土庫里
67000010,011,臺南市新營區,興安里,10011010,011,臺南縣新營市,興安里
67000010,012,臺南市新營區,南興里,10011010,012,臺南縣新營市,南興里
67000010,013,臺南市新營區,興業里,10011010,013,臺南縣新營市,興業里
67000010,014,臺南市新營區,民生里,10011010,014,臺南縣新營市,民生里
67000010,015,臺南市新營區,民榮里,10011010,015,臺南縣新營市,民榮里
67000010,016,臺南市新營區,埤寮里,10011010,016,臺南縣新營市,埤寮里
67000010,017,臺南市新營區,護鎮里,10011010,017,臺南縣新營市,護鎮里
67000010,018,臺南市新營區,太南里,10011010,018,臺南縣新營市,太南里
67000010,019,臺南市新營區,太北里,10011010,019,臺南縣新營市,太北里
67000010,020,臺南市新營區,南紙里,10011010,020,臺南縣新營市,南紙里
67000010,021,臺南市新營區,嘉芳里,10011010,021,臺南縣新營市,嘉芳里
67000010,022,臺南市新營區,舊廍里,10011010,022,臺南縣新營市,舊廍里
67000010,023,臺南市新營區,角帶里,10011010,023,臺南縣新營市,角帶里
67000010,024,臺南市新營區,鐵線里,10011010,024,臺南縣新營市,鐵線里
67000010,025,臺南市新營區,五興里,10011010,025,臺南縣新營市,五興里
67000010,026,臺南市新營區,姑爺里,10011010,026,臺南縣新營市,姑爺里
67000010,027,臺南市新營區,新北里,10011010,027,臺南縣新營市,新北里
67000010,028,臺南市新營區,新南里,10011010,028,臺南縣新營市,新南里
67000010,029,臺南市新營區,新東里,10011010,029,臺南縣新營市,新東里
,,,,,,,
67000020,001,臺南市鹽水區,水秀里,10011020,001,臺南縣鹽水鎮,水秀里
67000020,002,臺南市鹽水區,福得里,10011020,002,臺南縣鹽水鎮,福得里
67000020,003,臺南市鹽水區,三生里,10011020,003,臺南縣鹽水鎮,三生里
67000020,004,臺南市鹽水區,武廟里,10011020,004,臺南縣鹽水鎮,武廟里
67000020,005,臺南市鹽水區,中境里,10011020,005,臺南縣鹽水鎮,中境里
67000020,006,臺南市鹽水區,水仙里,10011020,006,臺南縣鹽水鎮,水仙里
67000020,007,臺南市鹽水區,水正里,10011020,007,臺南縣鹽水鎮,水正里
67000020,008,臺南市鹽水區,橋南里,10011020,008,臺南縣鹽水鎮,橋南里
67000020,009,臺南市鹽水區,舊營里,10011020,009,臺南縣鹽水鎮,舊營里
67000020,010,臺南市鹽水區,汫水里,10011020,010,臺南縣鹽水鎮,汫水里
67000020,011,臺南市鹽水區,岸內里,10011020,011,臺南縣鹽水鎮,岸內里
67000020,012,臺南市鹽水區,義稠里,10011020,012,臺南縣鹽水鎮,義稠里
67000020,013,臺南市鹽水區,下中里,10011020,013,臺南縣鹽水鎮,下中里
67000020,014,臺南市鹽水區,歡雅里,10011020,014,臺南縣鹽水鎮,歡雅里
67000020,015,臺南市鹽水區,大莊里,10011020,015,臺南縣鹽水鎮,大莊里
67000020,016,臺南市鹽水區,桐寮里,10011020,016,臺南縣鹽水鎮,桐寮里
67000020,017,臺南市鹽水區,後宅里,10011020,017,臺南縣鹽水鎮,後宅里
67000020,018,臺南市鹽水區,孫厝里,10011020,018,臺南縣鹽水鎮,孫厝里
67000020,019,臺南市鹽水區,竹埔里,10011020,019,臺南縣鹽水鎮,竹埔里
67000020,020,臺南市鹽水區,下林里,10011020,020,臺南縣鹽水鎮,下林里
67000020,021,臺南市鹽水區,田寮里,10011020,021,臺南縣鹽水鎮,田寮里
67000020,022,臺南市鹽水區,大豐里,10011020,022,臺南縣鹽水鎮,大豐里
67000020,023,臺南市鹽水區,飯店里,10011020,023,臺南縣鹽水鎮,飯店里
67000020,024,臺南市鹽水區,河南里,10011020,024,臺南縣鹽水鎮,河南里
67000020,025,臺南市鹽水區,南港里,10011020,025,臺南縣鹽水鎮,南港里
,,,,,,,
67000030,001,臺南市白河區,白河里,10011030,001,臺南縣白河鎮,白河里
67000030,002,臺南市白河區,永安里,10011030,002,臺南縣白河鎮,永安里
67000030,003,臺南市白河區,外角里,10011030,003,臺南縣白河鎮,外角里
67000030,004,臺南市白河區,庄內里,10011030,004,臺南縣白河鎮,庄內里
67000030,005,臺南市白河區,秀祐里,10011030,005,臺南縣白河鎮,秀祐里
67000030,006,臺南市白河區,河東里,10011030,006,臺南縣白河鎮,河東里
67000030,007,臺南市白河區,虎山里,10011030,007,臺南縣白河鎮,虎山里
67000030,008,臺南市白河區,大林里,10011030,008,臺南縣白河鎮,大林里
67000030,009,臺南市白河區,崁頭里,10011030,009,臺南縣白河鎮,崁頭里
67000030,010,臺南市白河區,六溪里,10011030,010,臺南縣白河鎮,六溪里
